
Namespace(M=300, admm_epoch=1, admm_train=True, admm_train_epochs=80, batch_size=32, data_view='frontback', dims=256, ext='0.5_tmp7', initial_s=0.01, load_model_name='ResNetUNet_best.pt', log_interval=10, lr=0.001, lr_scheduler='cosine', masked_retrain=False, model='ResNetUNet', num_classes=1, optimization='savlr', optimizer='adam', prun_config_file='config_ResNetUNet_0.5', r=0.1, retrain_epochs=10, rho=0.1, rho_num=1, save_dir='./ckpt/best_1', sparsity_type='irregular', test_batch_size=64, val_inter=1, verbose=False)

Arch name is ResNetUNet
!!!!!!!!!!!! ./ckpt/best_1/frontback_ResNetUNet_best.pt
Pretrained model loaded!
Validation: [0/2821 (0%)]	Loss: 0.019503, iou: 0.969403
Validation: [640/2821 (22%)]	Loss: 0.017614, iou: 0.972244
Validation: [1280/2821 (44%)]	Loss: 0.022107, iou: 0.963410
Validation: [1920/2821 (67%)]	Loss: 0.015705, iou: 0.976266
Validation: [2560/2821 (89%)]	Loss: 0.018153, iou: 0.972016
val: iou: 0.970051, bce: 0.008510, dice: 0.029949, loss: 0.019229
!!!!!!!!!!!!!!!!!!!!! savlr

epoch:  1
Train Epoch: 1 [0/25390 (0%)]	Loss: 0.025862, iou: 0.957875
Cross_entropy loss: 0.025862403213977814, mixed_loss : 1754.5712890625
Train Epoch: 1 [320/25390 (1%)]	Loss: 0.019675, iou: 0.969553
Cross_entropy loss: 0.019675005227327347, mixed_loss : 1398.1383056640625
Train Epoch: 1 [640/25390 (3%)]	Loss: 0.017258, iou: 0.973599
Cross_entropy loss: 0.017258310690522194, mixed_loss : 1103.2593994140625
Train Epoch: 1 [960/25390 (4%)]	Loss: 0.029378, iou: 0.951706
Cross_entropy loss: 0.02937774732708931, mixed_loss : 863.0678100585938
Train Epoch: 1 [1280/25390 (5%)]	Loss: 0.018809, iou: 0.972921
Cross_entropy loss: 0.01880909688770771, mixed_loss : 670.304443359375
Train Epoch: 1 [1600/25390 (6%)]	Loss: 0.022885, iou: 0.962546
Cross_entropy loss: 0.022885166108608246, mixed_loss : 517.2302856445312
Train Epoch: 1 [1920/25390 (8%)]	Loss: 0.020499, iou: 0.968459
Cross_entropy loss: 0.020498652011156082, mixed_loss : 396.6009826660156
Train Epoch: 1 [2240/25390 (9%)]	Loss: 0.023805, iou: 0.961515
Cross_entropy loss: 0.023805195465683937, mixed_loss : 302.1637268066406
Train Epoch: 1 [2560/25390 (10%)]	Loss: 0.020043, iou: 0.970596
Cross_entropy loss: 0.020043354481458664, mixed_loss : 228.67555236816406
Train Epoch: 1 [2880/25390 (11%)]	Loss: 0.024884, iou: 0.961600
Cross_entropy loss: 0.024883989244699478, mixed_loss : 171.86289978027344
Train Epoch: 1 [3200/25390 (13%)]	Loss: 0.023056, iou: 0.965437
Cross_entropy loss: 0.023056305944919586, mixed_loss : 128.22119140625
Train Epoch: 1 [3520/25390 (14%)]	Loss: 0.028179, iou: 0.959199
Cross_entropy loss: 0.028179429471492767, mixed_loss : 94.94432830810547
Train Epoch: 1 [3840/25390 (15%)]	Loss: 0.021307, iou: 0.966801
Cross_entropy loss: 0.021307002753019333, mixed_loss : 69.74662017822266
Train Epoch: 1 [4160/25390 (16%)]	Loss: 0.020569, iou: 0.969614
Cross_entropy loss: 0.020569324493408203, mixed_loss : 50.826011657714844
Train Epoch: 1 [4480/25390 (18%)]	Loss: 0.025465, iou: 0.960416
Cross_entropy loss: 0.025464806705713272, mixed_loss : 36.73896789550781
Train Epoch: 1 [4800/25390 (19%)]	Loss: 0.031573, iou: 0.948525
Cross_entropy loss: 0.03157313913106918, mixed_loss : 26.34025764465332
Train Epoch: 1 [5120/25390 (20%)]	Loss: 0.023547, iou: 0.963643
Cross_entropy loss: 0.023546552285552025, mixed_loss : 18.712078094482422
Train Epoch: 1 [5440/25390 (21%)]	Loss: 0.016981, iou: 0.976573
Cross_entropy loss: 0.016981100663542747, mixed_loss : 13.178007125854492
Train Epoch: 1 [5760/25390 (23%)]	Loss: 0.023046, iou: 0.966033
Cross_entropy loss: 0.023046359419822693, mixed_loss : 9.209741592407227
Train Epoch: 1 [6080/25390 (24%)]	Loss: 0.036508, iou: 0.937798
Cross_entropy loss: 0.03650834783911705, mixed_loss : 6.391456127166748
Train Epoch: 1 [6400/25390 (25%)]	Loss: 0.018293, iou: 0.970715
Cross_entropy loss: 0.018293149769306183, mixed_loss : 4.37567663192749
Train Epoch: 1 [6720/25390 (26%)]	Loss: 0.021973, iou: 0.967545
Cross_entropy loss: 0.021972745656967163, mixed_loss : 2.9827051162719727
Train Epoch: 1 [7040/25390 (28%)]	Loss: 0.021083, iou: 0.970997
Cross_entropy loss: 0.02108323946595192, mixed_loss : 2.0139782428741455
Train Epoch: 1 [7360/25390 (29%)]	Loss: 0.024321, iou: 0.961033
Cross_entropy loss: 0.024321161210536957, mixed_loss : 1.3554232120513916
Train Epoch: 1 [7680/25390 (30%)]	Loss: 0.020638, iou: 0.969740
Cross_entropy loss: 0.020637765526771545, mixed_loss : 0.9005709886550903
Train Epoch: 1 [8000/25390 (31%)]	Loss: 0.021556, iou: 0.966789
Cross_entropy loss: 0.021555691957473755, mixed_loss : 0.5980090498924255
Train Epoch: 1 [8320/25390 (33%)]	Loss: 0.017526, iou: 0.975187
Cross_entropy loss: 0.017525505274534225, mixed_loss : 0.39380332827568054
Train Epoch: 1 [8640/25390 (34%)]	Loss: 0.022809, iou: 0.964470
Cross_entropy loss: 0.022808995097875595, mixed_loss : 0.26708948612213135
Train Epoch: 1 [8960/25390 (35%)]	Loss: 0.024219, iou: 0.961750
Cross_entropy loss: 0.02421949803829193, mixed_loss : 0.18524454534053802
Train Epoch: 1 [9280/25390 (37%)]	Loss: 0.027402, iou: 0.957225
Cross_entropy loss: 0.02740241214632988, mixed_loss : 0.127998948097229
Train Epoch: 1 [9600/25390 (38%)]	Loss: 0.028521, iou: 0.953350
Cross_entropy loss: 0.028520802035927773, mixed_loss : 0.09243007749319077
Train Epoch: 1 [9920/25390 (39%)]	Loss: 0.019539, iou: 0.972489
Cross_entropy loss: 0.019539056345820427, mixed_loss : 0.05976730212569237
Train Epoch: 1 [10240/25390 (40%)]	Loss: 0.030701, iou: 0.948916
Cross_entropy loss: 0.03070143237709999, mixed_loss : 0.05623997747898102
Train Epoch: 1 [10560/25390 (42%)]	Loss: 0.033408, iou: 0.942402
Cross_entropy loss: 0.03340788558125496, mixed_loss : 0.051039788872003555
Train Epoch: 1 [10880/25390 (43%)]	Loss: 0.019887, iou: 0.967668
