
Namespace(M=300, admm_epoch=1, admm_train=True, admm_train_epochs=80, batch_size=32, data_view='leftright', dims=256, ext='0.5_tmp7', initial_s=0.01, load_model_name='ResNetUNet_best.pt', log_interval=10, lr=0.001, lr_scheduler='cosine', masked_retrain=False, model='ResNetUNet', num_classes=1, optimization='savlr', optimizer='adam', prun_config_file='config_ResNetUNet_0.5', r=0.1, retrain_epochs=10, rho=0.1, rho_num=1, save_dir='./ckpt/best_1', sparsity_type='irregular', test_batch_size=64, val_inter=1, verbose=False)

Arch name is ResNetUNet
!!!!!!!!!!!! ./ckpt/best_1/leftright_ResNetUNet_best.pt
Pretrained model loaded!
Validation: [0/3836 (0%)]	Loss: 0.021157, iou: 0.964399
Validation: [640/3836 (17%)]	Loss: 0.021491, iou: 0.962879
Validation: [1280/3836 (33%)]	Loss: 0.019613, iou: 0.966958
Validation: [1920/3836 (50%)]	Loss: 0.020579, iou: 0.964670
Validation: [2560/3836 (67%)]	Loss: 0.019280, iou: 0.969020
Validation: [3200/3836 (83%)]	Loss: 0.018406, iou: 0.970078
val: iou: 0.964776, bce: 0.006543, dice: 0.035224, loss: 0.020884
!!!!!!!!!!!!!!!!!!!!! savlr

epoch:  1
Train Epoch: 1 [0/34528 (0%)]	Loss: 0.029925, iou: 0.947771
Cross_entropy loss: 0.02992517501115799, mixed_loss : 2221.044921875
Train Epoch: 1 [320/34528 (1%)]	Loss: 0.019403, iou: 0.970555
Cross_entropy loss: 0.01940295472741127, mixed_loss : 1816.8443603515625
Train Epoch: 1 [640/34528 (2%)]	Loss: 0.020576, iou: 0.966096
Cross_entropy loss: 0.020576070994138718, mixed_loss : 1476.4814453125
Train Epoch: 1 [960/34528 (3%)]	Loss: 0.019400, iou: 0.969924
Cross_entropy loss: 0.01939985528588295, mixed_loss : 1192.1549072265625
Train Epoch: 1 [1280/34528 (4%)]	Loss: 0.033405, iou: 0.939305
Cross_entropy loss: 0.03340506926178932, mixed_loss : 957.7583618164062
Train Epoch: 1 [1600/34528 (5%)]	Loss: 0.020447, iou: 0.966644
Cross_entropy loss: 0.02044703997671604, mixed_loss : 765.946044921875
Train Epoch: 1 [1920/34528 (6%)]	Loss: 0.021358, iou: 0.964939
Cross_entropy loss: 0.021358102560043335, mixed_loss : 609.883544921875
Train Epoch: 1 [2240/34528 (6%)]	Loss: 0.017589, iou: 0.975219
Cross_entropy loss: 0.017589198425412178, mixed_loss : 483.44342041015625
Train Epoch: 1 [2560/34528 (7%)]	Loss: 0.034075, iou: 0.940182
Cross_entropy loss: 0.034074973315000534, mixed_loss : 381.4405822753906
Train Epoch: 1 [2880/34528 (8%)]	Loss: 0.028380, iou: 0.950662
Cross_entropy loss: 0.02838039956986904, mixed_loss : 299.4640808105469
Train Epoch: 1 [3200/34528 (9%)]	Loss: 0.024301, iou: 0.960015
Cross_entropy loss: 0.024301301687955856, mixed_loss : 233.89437866210938
Train Epoch: 1 [3520/34528 (10%)]	Loss: 0.026792, iou: 0.954265
Cross_entropy loss: 0.02679247222840786, mixed_loss : 181.70541381835938
Train Epoch: 1 [3840/34528 (11%)]	Loss: 0.029988, iou: 0.949189
Cross_entropy loss: 0.029988327994942665, mixed_loss : 140.3834228515625
Train Epoch: 1 [4160/34528 (12%)]	Loss: 0.024128, iou: 0.960676
Cross_entropy loss: 0.024128222838044167, mixed_loss : 107.82526397705078
Train Epoch: 1 [4480/34528 (13%)]	Loss: 0.034325, iou: 0.940643
Cross_entropy loss: 0.03432496637105942, mixed_loss : 82.34548950195312
Train Epoch: 1 [4800/34528 (14%)]	Loss: 0.019428, iou: 0.970007
Cross_entropy loss: 0.019428366795182228, mixed_loss : 62.49087142944336
Train Epoch: 1 [5120/34528 (15%)]	Loss: 0.024541, iou: 0.961285
