
Namespace(M=300, admm_epoch=1, admm_train=True, admm_train_epochs=80, batch_size=32, data_view='updown', dims=256, ext='0.9_tmp7', initial_s=0.01, load_model_name='ResNetUNet_best.pt', log_interval=10, lr=0.001, lr_scheduler='cosine', masked_retrain=False, model='ResNetUNet', num_classes=1, optimization='savlr', optimizer='adam', prun_config_file='config_ResNetUNet_0.9', r=0.1, retrain_epochs=10, rho=0.1, rho_num=1, save_dir='./ckpt/best_1', sparsity_type='irregular', test_batch_size=64, val_inter=1, verbose=False)

Arch name is ResNetUNet
!!!!!!!!!!!! ./ckpt/best_1/updown_ResNetUNet_best.pt
Pretrained model loaded!
Validation: [0/2417 (0%)]	Loss: 0.011607, iou: 0.981698
Validation: [640/2417 (26%)]	Loss: 0.011536, iou: 0.982757
Validation: [1280/2417 (53%)]	Loss: 0.011817, iou: 0.981020
Validation: [1920/2417 (79%)]	Loss: 0.011961, iou: 0.980690
val: iou: 0.981184, bce: 0.005247, dice: 0.018816, loss: 0.012032
!!!!!!!!!!!!!!!!!!!!! savlr

epoch:  1
Train Epoch: 1 [0/21756 (0%)]	Loss: 0.012615, iou: 0.980653
Cross_entropy loss: 0.012615455314517021, mixed_loss : 9149.9375
Train Epoch: 1 [320/21756 (1%)]	Loss: 0.013570, iou: 0.979675
Cross_entropy loss: 0.013569748029112816, mixed_loss : 8063.75927734375
Train Epoch: 1 [640/21756 (3%)]	Loss: 0.011661, iou: 0.981450
Cross_entropy loss: 0.011661158874630928, mixed_loss : 7106.41162109375
Train Epoch: 1 [960/21756 (4%)]	Loss: 0.014306, iou: 0.977314
Cross_entropy loss: 0.014306444674730301, mixed_loss : 6258.09521484375
Train Epoch: 1 [1280/21756 (6%)]	Loss: 0.019254, iou: 0.967840
Cross_entropy loss: 0.01925406977534294, mixed_loss : 5508.65673828125
Train Epoch: 1 [1600/21756 (7%)]	Loss: 0.018204, iou: 0.969893
Cross_entropy loss: 0.018203673884272575, mixed_loss : 4848.16259765625
Train Epoch: 1 [1920/21756 (9%)]	Loss: 0.015040, iou: 0.977015
Cross_entropy loss: 0.01503951195627451, mixed_loss : 4266.1669921875
Train Epoch: 1 [2240/21756 (10%)]	Loss: 0.021314, iou: 0.962879
Cross_entropy loss: 0.02131417766213417, mixed_loss : 3753.1572265625
Train Epoch: 1 [2560/21756 (12%)]	Loss: 0.020600, iou: 0.968318
Cross_entropy loss: 0.020600248128175735, mixed_loss : 3300.68798828125
Train Epoch: 1 [2880/21756 (13%)]	Loss: 0.019527, iou: 0.967122
Cross_entropy loss: 0.019526630640029907, mixed_loss : 2901.440185546875
Train Epoch: 1 [3200/21756 (15%)]	Loss: 0.026861, iou: 0.955554
Cross_entropy loss: 0.026860814541578293, mixed_loss : 2549.07177734375
Train Epoch: 1 [3520/21756 (16%)]	Loss: 0.022428, iou: 0.964310
Cross_entropy loss: 0.022427788004279137, mixed_loss : 2238.040283203125
Train Epoch: 1 [3840/21756 (18%)]	Loss: 0.022355, iou: 0.965306
Cross_entropy loss: 0.0223550908267498, mixed_loss : 1963.5489501953125
Train Epoch: 1 [4160/21756 (19%)]	Loss: 0.025779, iou: 0.957003
Cross_entropy loss: 0.025778690353035927, mixed_loss : 1721.3597412109375
Train Epoch: 1 [4480/21756 (21%)]	Loss: 0.033022, iou: 0.945003
Cross_entropy loss: 0.03302193805575371, mixed_loss : 1507.7708740234375
Train Epoch: 1 [4800/21756 (22%)]	Loss: 0.027985, iou: 0.955645
Cross_entropy loss: 0.027985431253910065, mixed_loss : 1319.48779296875
Train Epoch: 1 [5120/21756 (24%)]	Loss: 0.035701, iou: 0.940088
Cross_entropy loss: 0.035700831562280655, mixed_loss : 1153.6416015625
Train Epoch: 1 [5440/21756 (25%)]	Loss: 0.032835, iou: 0.949479
Cross_entropy loss: 0.032835207879543304, mixed_loss : 1007.6376953125
Train Epoch: 1 [5760/21756 (26%)]	Loss: 0.042679, iou: 0.932318
Cross_entropy loss: 0.042678989470005035, mixed_loss : 879.228271484375
Train Epoch: 1 [6080/21756 (28%)]	Loss: 0.044253, iou: 0.929373
Cross_entropy loss: 0.04425307363271713, mixed_loss : 766.3677368164062
Train Epoch: 1 [6400/21756 (29%)]	Loss: 0.032636, iou: 0.948887
Cross_entropy loss: 0.03263551741838455, mixed_loss : 667.2586669921875
Train Epoch: 1 [6720/21756 (31%)]	Loss: 0.037972, iou: 0.939624
Cross_entropy loss: 0.037971802055835724, mixed_loss : 580.3351440429688
Train Epoch: 1 [7040/21756 (32%)]	Loss: 0.051387, iou: 0.919027
Cross_entropy loss: 0.05138710141181946, mixed_loss : 504.1722717285156
Train Epoch: 1 [7360/21756 (34%)]	Loss: 0.049636, iou: 0.918724
Cross_entropy loss: 0.049636028707027435, mixed_loss : 437.48797607421875
Train Epoch: 1 [7680/21756 (35%)]	Loss: 0.070123, iou: 0.892263
Cross_entropy loss: 0.0701233446598053, mixed_loss : 379.1997375488281
Train Epoch: 1 [8000/21756 (37%)]	Loss: 0.051147, iou: 0.914925
Cross_entropy loss: 0.051147401332855225, mixed_loss : 328.25494384765625
Train Epoch: 1 [8320/21756 (38%)]	Loss: 0.060921, iou: 0.903844
Cross_entropy loss: 0.06092062592506409, mixed_loss : 283.8481750488281
Train Epoch: 1 [8640/21756 (40%)]	Loss: 0.072322, iou: 0.881380
Cross_entropy loss: 0.07232239842414856, mixed_loss : 245.14967346191406
Train Epoch: 1 [8960/21756 (41%)]	Loss: 0.063014, iou: 0.895247
Cross_entropy loss: 0.06301383674144745, mixed_loss : 211.43057250976562
Train Epoch: 1 [9280/21756 (43%)]	Loss: 0.085755, iou: 0.871167
Cross_entropy loss: 0.08575531840324402, mixed_loss : 182.16122436523438
Train Epoch: 1 [9600/21756 (44%)]	Loss: 0.073979, iou: 0.876963
Cross_entropy loss: 0.07397926598787308, mixed_loss : 156.7364959716797
Train Epoch: 1 [9920/21756 (46%)]	Loss: 0.101416, iou: 0.871288
Cross_entropy loss: 0.10141617059707642, mixed_loss : 134.72360229492188
Train Epoch: 1 [10240/21756 (47%)]	Loss: 0.087279, iou: 0.880330
Cross_entropy loss: 0.08727879077196121, mixed_loss : 115.59664916992188
Train Epoch: 1 [10560/21756 (49%)]	Loss: 0.078730, iou: 0.865493
Cross_entropy loss: 0.07872983813285828, mixed_loss : 99.06641387939453
Train Epoch: 1 [10880/21756 (50%)]	Loss: 0.064280, iou: 0.904960
Cross_entropy loss: 0.06428004801273346, mixed_loss : 84.79804229736328
Train Epoch: 1 [11200/21756 (51%)]	Loss: 0.068936, iou: 0.892894
Cross_entropy loss: 0.06893625855445862, mixed_loss : 72.50484466552734
Train Epoch: 1 [11520/21756 (53%)]	Loss: 0.059580, iou: 0.904382
Cross_entropy loss: 0.05957973748445511, mixed_loss : 61.87565994262695
